Level	Date and Time	Source	Event ID	Task Category
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x2 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x7 	Protocol: 	LRPC 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x7 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{e1af8308-5d1f-11c9-91a4-08002b14a0fa} 	OpNum: 	0x3 	Protocol: 	LRPC 	Endpoint 	epmapper 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{e1af8308-5d1f-11c9-91a4-08002b14a0fa} 	OpNum: 	0x3 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	epmapper 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Identify"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{4f32adc8-6052-4a04-8701-293ccf2096f0} 	OpNum: 	0xE 	Protocol: 	LRPC 	Endpoint 	lsasspirpc 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{4f32adc8-6052-4a04-8701-293ccf2096f0} 	OpNum: 	0xE 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsasspirpc 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{4f32adc8-6052-4a04-8701-293ccf2096f0} 	OpNum: 	0xE 	Protocol: 	LRPC 	Endpoint 	lsasspirpc 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{4f32adc8-6052-4a04-8701-293ccf2096f0} 	OpNum: 	0xE 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsasspirpc 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{4f32adc8-6052-4a04-8701-293ccf2096f0} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	lsasspirpc 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{4f32adc8-6052-4a04-8701-293ccf2096f0} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsasspirpc 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{9b8699ae-0e44-47b1-8e7f-86a461d7ecdc} 	OpNum: 	0xF 	Protocol: 	LRPC 	Endpoint 	actkernel 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{9b8699ae-0e44-47b1-8e7f-86a461d7ecdc} 	OpNum: 	0xF 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	actkernel 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
