Level	Date and Time	Source	Event ID	Task Category
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{f6beaff7-1e19-4fbb-9f8f-b89e2018337c} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	eventlog 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{f6beaff7-1e19-4fbb-9f8f-b89e2018337c} 	OpNum: 	0x14 	Protocol: 	LRPC 	Endpoint 	eventlog 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{f6beaff7-1e19-4fbb-9f8f-b89e2018337c} 	OpNum: 	0x14 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	eventlog 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x5 	Protocol: 	LRPC 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x5 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{86d35949-83c9-4044-b424-db363231fd0c} 	OpNum: 	0x2 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	LRPC-bfe9276de4bba4d4cc 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x2 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	lsapolicylookup 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Default"
